event_id,timestamp,src_ip,dst_ip,src_port,dst_port,protocol,payload_size,event_type,mitre_tactic,mitre_technique,mitre_technique_id,confidence
6067aed3-8c0d-4c9e-8a51-72804536a5d6,2026-05-30T14:27:50.279155,10.0.181.70,192.168.141.91,13199,445,UDP,58111,c2_communication,Command and Control,Application Layer Protocol,T1071,0.95
f3f99318-1b99-4077-a877-f19a020e62eb,2026-05-30T14:27:50.330325,10.0.32.233,192.168.113.54,39329,8080,UDP,43478,privilege_escalation,Privilege Escalation,Exploitation for Privilege Escalation,T1068,0.95
9e5cbf78-f4a5-4692-ba8c-746d62664c29,2026-05-30T14:27:50.381793,10.0.98.115,192.168.147.78,15517,443,UDP,34735,port_scan,Reconnaissance,Active Scanning,T1595,0.95
7de78989-0944-499f-9130-2cc2d5a8fea1,2026-05-30T14:27:50.433180,10.0.166.81,192.168.232.188,25913,22,UDP,35478,port_scan,Reconnaissance,Active Scanning,T1595,0.95
f4ceef27-67ad-45cd-8853-60809cf7001a,2026-05-30T14:27:50.484191,10.0.5.133,192.168.81.37,19843,80,TCP,51838,port_scan,Reconnaissance,Active Scanning,T1595,0.95
4547945e-6235-4bf7-8300-49cdeb7fd751,2026-05-30T14:27:50.535640,10.0.2.183,192.168.101.193,62695,3306,ICMP,3938,brute_force,Credential Access,Brute Force,T1110,0.95
e3e71841-065c-4ee5-bec6-e61b6ab68451,2026-05-30T14:27:50.587009,10.0.118.154,192.168.154.202,30513,22,UDP,60291,port_scan,Reconnaissance,Active Scanning,T1595,0.95
d73d10e8-e6ac-4c7d-8b2e-f2ceff8efac5,2026-05-30T14:27:50.638261,10.0.185.87,192.168.106.68,20621,8080,TCP,45252,port_scan,Reconnaissance,Active Scanning,T1595,0.95
ef14f4bb-6bb9-4197-87b2-c63a5a274303,2026-05-30T14:27:50.689697,10.0.236.18,192.168.153.43,40921,3306,TCP,29797,lateral_movement,Lateral Movement,Remote Services,T1021,0.95
64e1f46d-519f-4b79-b687-1cb8c36ce9e0,2026-05-30T14:27:50.741066,10.0.118.61,192.168.250.160,56429,445,ICMP,3828,lateral_movement,Lateral Movement,Remote Services,T1021,0.95
03d4a6f4-c283-468a-8470-3d2ed4de5d05,2026-05-30T14:27:50.795880,10.0.222.221,192.168.12.59,55760,443,UDP,44195,c2_communication,Command and Control,Application Layer Protocol,T1071,0.95
53a582b6-0e17-43f4-a045-f94b39e236bd,2026-05-30T14:27:50.846883,10.0.191.60,192.168.65.71,58454,80,ICMP,34802,c2_communication,Command and Control,Application Layer Protocol,T1071,0.95
1769c620-de27-4dda-91b9-f1c605076da9,2026-05-30T14:27:50.897891,10.0.216.89,192.168.153.10,13941,443,ICMP,30284,lateral_movement,Lateral Movement,Remote Services,T1021,0.95
c59a9daa-e612-49fb-ac97-6a3d02975da1,2026-05-30T14:27:50.949109,10.0.9.225,192.168.151.61,48222,445,TCP,39503,privilege_escalation,Privilege Escalation,Exploitation for Privilege Escalation,T1068,0.95
735b5d11-7608-42bb-a69b-1344253fe9d7,2026-05-30T14:27:51.000277,10.0.15.92,192.168.188.228,15251,445,TCP,64582,brute_force,Credential Access,Brute Force,T1110,0.95
56f69e7d-e987-475f-ae2b-2adc33433963,2026-05-30T14:27:51.051389,10.0.129.46,192.168.254.50,21024,3306,TCP,61023,normal_traffic,N/A,N/A,N/A,1.0
a129104f-adae-4b86-b3ed-e59f62d6f5c3,2026-05-30T14:27:51.102721,10.0.175.95,192.168.229.201,37112,443,UDP,15978,privilege_escalation,Privilege Escalation,Exploitation for Privilege Escalation,T1068,0.95
e99205a9-9946-453f-8c5a-f946f4896b1d,2026-05-30T14:27:51.154647,10.0.71.92,192.168.172.213,52323,3306,UDP,4473,port_scan,Reconnaissance,Active Scanning,T1595,0.95
69e3b453-e83e-4ccc-8580-a19040aeff35,2026-05-30T14:27:51.206134,10.0.115.133,192.168.163.70,35892,443,UDP,19069,lateral_movement,Lateral Movement,Remote Services,T1021,0.95
cc8df7cd-8c5f-4d43-a48e-884e40e75650,2026-05-30T14:27:51.257734,10.0.222.82,192.168.21.122,34436,443,ICMP,2998,lateral_movement,Lateral Movement,Remote Services,T1021,0.95
a6d19d17-4179-47fe-924a-c244938f0d35,2026-05-30T14:27:51.309316,10.0.39.98,192.168.250.68,52863,3389,UDP,3847,privilege_escalation,Privilege Escalation,Exploitation for Privilege Escalation,T1068,0.95
5812b5d0-9590-42c5-af42-ce5713df6d85,2026-05-30T14:27:51.360540,10.0.213.144,192.168.134.51,10956,443,TCP,6500,c2_communication,Command and Control,Application Layer Protocol,T1071,0.95
54b986c7-d055-4949-8662-7047dadfb169,2026-05-30T14:27:51.415464,10.0.54.196,192.168.247.143,3378,80,UDP,35670,lateral_movement,Lateral Movement,Remote Services,T1021,0.95
47541b12-c80d-4062-bdce-fd5a63cf6013,2026-05-30T14:27:51.467037,10.0.23.140,192.168.172.239,22301,22,TCP,10380,data_exfiltration,Exfiltration,Exfiltration Over C2 Channel,T1041,0.95
995384ef-2e98-400d-995c-fa7e16251cbe,2026-05-30T14:27:51.518119,10.0.34.243,192.168.86.40,32351,3389,UDP,31292,normal_traffic,N/A,N/A,N/A,1.0
52c550d4-05b4-46e5-a3ec-95bc851583de,2026-05-30T14:27:51.569385,10.0.220.57,192.168.166.1,19343,22,TCP,20830,data_exfiltration,Exfiltration,Exfiltration Over C2 Channel,T1041,0.95
ad23cf14-0d3e-4a6b-82fc-24ad8ed095d7,2026-05-30T14:27:51.623219,10.0.68.54,192.168.125.181,58058,8080,ICMP,20758,brute_force,Credential Access,Brute Force,T1110,0.95
24898f98-43e6-41b9-99f5-ec3602cc54f9,2026-05-30T14:27:51.674331,10.0.73.117,192.168.46.29,59229,3306,ICMP,11339,lateral_movement,Lateral Movement,Remote Services,T1021,0.95
33ecb8b8-bbf6-4bc5-b38f-c73bf9e91653,2026-05-30T14:27:51.725902,10.0.236.252,192.168.163.53,32909,3389,ICMP,23273,c2_communication,Command and Control,Application Layer Protocol,T1071,0.95
93b17667-c99e-4327-a9e5-d85d99e69eae,2026-05-30T14:27:51.777513,10.0.207.186,192.168.103.217,16469,3389,TCP,2481,data_exfiltration,Exfiltration,Exfiltration Over C2 Channel,T1041,0.95
10c22b46-dafa-4ff0-b756-3107a5442572,2026-05-30T14:27:51.832245,10.0.157.178,192.168.147.163,1476,445,TCP,22964,privilege_escalation,Privilege Escalation,Exploitation for Privilege Escalation,T1068,0.95
d9b29352-13a3-4598-858c-3cba6cc6b0e6,2026-05-30T14:27:51.883382,10.0.2.163,192.168.67.131,43965,22,ICMP,22518,c2_communication,Command and Control,Application Layer Protocol,T1071,0.95
86620623-5727-47ae-9d57-823ca89ea282,2026-05-30T14:27:51.934632,10.0.140.26,192.168.14.142,20753,80,ICMP,14414,brute_force,Credential Access,Brute Force,T1110,0.95
ac728dd8-8ef4-48b2-8b91-5bc29f1c3da2,2026-05-30T14:27:51.985868,10.0.143.12,192.168.73.254,41060,22,ICMP,11098,normal_traffic,N/A,N/A,N/A,1.0
743dc472-0a4e-41a5-a4b4-0175099d562f,2026-05-30T14:27:52.037103,10.0.174.212,192.168.213.254,4645,22,TCP,44118,normal_traffic,N/A,N/A,N/A,1.0
28b2b7f4-26a2-4270-bd4a-7218902380e2,2026-05-30T14:27:52.088104,10.0.163.27,192.168.202.116,28540,3306,UDP,56236,data_exfiltration,Exfiltration,Exfiltration Over C2 Channel,T1041,0.95
eb761665-fbfc-409b-a570-ef0cf0c1b6df,2026-05-30T14:27:52.139031,10.0.6.145,192.168.172.90,15894,80,TCP,14629,lateral_movement,Lateral Movement,Remote Services,T1021,0.95
4c82c55f-2b0a-44d7-83d6-01f73a67da1c,2026-05-30T14:27:52.189837,10.0.145.193,192.168.30.236,6663,22,ICMP,9759,data_exfiltration,Exfiltration,Exfiltration Over C2 Channel,T1041,0.95
35f14c83-5030-4768-ab81-65f96f4df923,2026-05-30T14:27:52.242196,10.0.154.236,192.168.79.165,63661,3306,UDP,36762,lateral_movement,Lateral Movement,Remote Services,T1021,0.95
094a46d5-6938-4c9f-8e0a-59de66bf4214,2026-05-30T14:27:52.293318,10.0.176.28,192.168.83.125,59437,445,UDP,31207,normal_traffic,N/A,N/A,N/A,1.0
62c239c3-8be3-4893-b2bc-e4e9e481bcea,2026-05-30T14:27:52.344306,10.0.186.243,192.168.140.42,51115,22,ICMP,59481,c2_communication,Command and Control,Application Layer Protocol,T1071,0.95
9ce4d92d-f62d-49d2-9833-d03af683f706,2026-05-30T14:27:52.395535,10.0.243.121,192.168.36.240,2805,445,ICMP,23637,brute_force,Credential Access,Brute Force,T1110,0.95
655175e0-e69a-4c58-a2e4-9da4e0ffc125,2026-05-30T14:27:52.447041,10.0.152.159,192.168.109.86,15682,3306,UDP,48479,brute_force,Credential Access,Brute Force,T1110,0.95
10f27bce-c4a5-4b2d-ac23-ca80cd957c67,2026-05-30T14:27:52.498344,10.0.130.249,192.168.99.6,51056,22,TCP,64712,port_scan,Reconnaissance,Active Scanning,T1595,0.95
21970ed5-0c0c-49d2-a07d-fdd0d1dc314c,2026-05-30T14:27:52.549466,10.0.159.191,192.168.220.187,32098,22,TCP,32992,data_exfiltration,Exfiltration,Exfiltration Over C2 Channel,T1041,0.95
0e493ec5-6025-4141-80f9-300ffd6f02a9,2026-05-30T14:27:52.600330,10.0.3.232,192.168.16.130,19410,3389,UDP,6649,data_exfiltration,Exfiltration,Exfiltration Over C2 Channel,T1041,0.95
6330d83a-79c7-4458-8ef3-dbef78187450,2026-05-30T14:27:52.651532,10.0.164.143,192.168.145.160,34132,22,TCP,58848,brute_force,Credential Access,Brute Force,T1110,0.95
607c0da9-3cdb-4ca4-9db7-94cc81af182d,2026-05-30T14:27:52.701980,10.0.76.62,192.168.210.43,23809,22,TCP,23869,normal_traffic,N/A,N/A,N/A,1.0
050803ae-5d5a-4800-8018-90f3068a1fe5,2026-05-30T14:27:52.752426,10.0.180.70,192.168.37.138,30129,3306,UDP,23662,c2_communication,Command and Control,Application Layer Protocol,T1071,0.95
3d19cf7a-0c4d-4068-b4d5-36a7b17564ae,2026-05-30T14:27:52.802898,10.0.247.167,192.168.138.3,39083,3306,TCP,34523,privilege_escalation,Privilege Escalation,Exploitation for Privilege Escalation,T1068,0.95
529b0d9e-a2f2-496e-8e83-5cb837cf6f9b,2026-05-30T14:27:52.853650,10.0.116.201,192.168.197.105,31829,3306,TCP,35948,data_exfiltration,Exfiltration,Exfiltration Over C2 Channel,T1041,0.95
568f5600-0ce0-42b0-9654-79837ba0a903,2026-05-30T14:27:52.904753,10.0.229.16,192.168.30.126,15621,445,ICMP,56644,brute_force,Credential Access,Brute Force,T1110,0.95
c7c0fa07-32fb-4bc9-876c-428af9107d25,2026-05-30T14:27:52.955814,10.0.31.224,192.168.151.193,35396,443,ICMP,1454,lateral_movement,Lateral Movement,Remote Services,T1021,0.95
0c25acb0-43d6-4684-862a-cdd77ec393f7,2026-05-30T14:27:53.006855,10.0.134.106,192.168.177.204,49544,22,UDP,42542,lateral_movement,Lateral Movement,Remote Services,T1021,0.95
933edad3-f471-4b7d-91fa-c6e4f5fc8a53,2026-05-30T14:27:53.059141,10.0.242.36,192.168.75.69,59374,22,UDP,40978,port_scan,Reconnaissance,Active Scanning,T1595,0.95
6182ea88-0ca2-4b67-aad4-94cfa878113e,2026-05-30T14:27:53.110158,10.0.250.23,192.168.106.12,41548,80,TCP,55022,port_scan,Reconnaissance,Active Scanning,T1595,0.95
c1ed6836-addc-43eb-9ad2-bfd225078f7f,2026-05-30T14:27:53.161394,10.0.42.238,192.168.43.205,50904,3306,ICMP,53018,brute_force,Credential Access,Brute Force,T1110,0.95
daed6a66-ca79-4a04-a0f0-27c841a58272,2026-05-30T14:27:53.212427,10.0.191.82,192.168.0.184,5561,80,ICMP,57537,privilege_escalation,Privilege Escalation,Exploitation for Privilege Escalation,T1068,0.95
3f3cdadf-5187-4dcd-ad13-d10aac841668,2026-05-30T14:27:53.263581,10.0.162.134,192.168.136.166,21885,8080,UDP,61347,port_scan,Reconnaissance,Active Scanning,T1595,0.95
bdf49828-7bcf-4f3d-9ad1-688321b41ab9,2026-05-30T14:27:53.314628,10.0.211.120,192.168.45.245,21780,22,TCP,41364,data_exfiltration,Exfiltration,Exfiltration Over C2 Channel,T1041,0.95
e767bce5-6d6d-4c09-a9ff-f7f5c9d140d1,2026-05-30T14:27:53.365592,10.0.186.67,192.168.147.76,51354,445,TCP,17296,c2_communication,Command and Control,Application Layer Protocol,T1071,0.95
57e6225e-e412-4b5c-bfdf-6fd53f213fc3,2026-05-30T14:27:53.416867,10.0.176.95,192.168.180.36,22927,3306,UDP,9833,port_scan,Reconnaissance,Active Scanning,T1595,0.95
bce53614-75bb-4de4-bc30-70c346aeb1f1,2026-05-30T14:27:53.468361,10.0.130.135,192.168.32.5,38858,445,ICMP,6684,normal_traffic,N/A,N/A,N/A,1.0
43d699c0-bf1e-405e-a7f4-d6a5de90f073,2026-05-30T14:27:53.519498,10.0.215.156,192.168.248.129,15209,445,TCP,50241,brute_force,Credential Access,Brute Force,T1110,0.95
3c5023eb-3151-4555-bbc6-2ccd05869c69,2026-05-30T14:27:53.570727,10.0.54.65,192.168.30.238,36716,80,UDP,55163,brute_force,Credential Access,Brute Force,T1110,0.95
bb3708d8-2fbf-4b7b-b80f-16d1fd2d3eff,2026-05-30T14:27:53.621595,10.0.55.171,192.168.134.58,25151,22,UDP,5695,port_scan,Reconnaissance,Active Scanning,T1595,0.95
a6cb78cc-4eae-40b6-ab9a-2e7af6ba1bea,2026-05-30T14:27:53.672642,10.0.132.231,192.168.71.109,34074,3389,TCP,24551,normal_traffic,N/A,N/A,N/A,1.0
418338bc-4843-4902-af64-d6dc39fe2626,2026-05-30T14:27:53.723166,10.0.212.69,192.168.2.210,58025,3306,TCP,27148,privilege_escalation,Privilege Escalation,Exploitation for Privilege Escalation,T1068,0.95
7727f597-b51b-4d03-9b7b-4c27d1408c32,2026-05-30T14:27:53.773923,10.0.200.195,192.168.66.201,63545,3306,ICMP,19273,brute_force,Credential Access,Brute Force,T1110,0.95
cd17370d-fb37-49f0-aa23-7bff31a396aa,2026-05-30T14:27:53.824788,10.0.161.164,192.168.37.135,13197,22,ICMP,41862,data_exfiltration,Exfiltration,Exfiltration Over C2 Channel,T1041,0.95
1a7600c9-28f6-462d-9dcc-278de1336f33,2026-05-30T14:27:53.877694,10.0.250.187,192.168.249.237,3542,445,ICMP,49677,normal_traffic,N/A,N/A,N/A,1.0
9929edb2-f5fd-4f4e-8dc4-8d624a247bf7,2026-05-30T14:27:53.928902,10.0.192.31,192.168.201.134,19445,3389,UDP,28063,brute_force,Credential Access,Brute Force,T1110,0.95
86228954-a34d-4d73-9e00-857611251c4c,2026-05-30T14:27:53.980115,10.0.28.166,192.168.125.93,44229,8080,UDP,35997,c2_communication,Command and Control,Application Layer Protocol,T1071,0.95
2fddb1d6-0c49-42e0-990b-1b6d320d2693,2026-05-30T14:27:54.031255,10.0.205.46,192.168.94.103,59116,3306,TCP,52584,normal_traffic,N/A,N/A,N/A,1.0
3553e0f8-2eb1-4ac9-b012-21c37cdfa7bc,2026-05-30T14:27:54.082678,10.0.54.165,192.168.237.205,48086,3306,ICMP,63505,normal_traffic,N/A,N/A,N/A,1.0
ffa100f9-ee14-4c8b-b948-8aaf083f6bc6,2026-05-30T14:27:54.133913,10.0.178.47,192.168.197.118,2762,445,TCP,65047,privilege_escalation,Privilege Escalation,Exploitation for Privilege Escalation,T1068,0.95
cddf2d86-31d4-49f5-a1ff-7442b953e1bb,2026-05-30T14:27:54.185375,10.0.61.218,192.168.41.111,34011,8080,UDP,47576,brute_force,Credential Access,Brute Force,T1110,0.95
ba1e3439-be41-450a-8eae-0c66cc1ddc8e,2026-05-30T14:27:54.236369,10.0.157.91,192.168.8.18,1427,443,TCP,59417,data_exfiltration,Exfiltration,Exfiltration Over C2 Channel,T1041,0.95
a863d0e6-b5c3-4cd1-8599-3a5d7e91cb92,2026-05-30T14:27:54.287761,10.0.82.46,192.168.223.53,48614,3306,UDP,15825,data_exfiltration,Exfiltration,Exfiltration Over C2 Channel,T1041,0.95
b188690f-4b10-4ba6-b412-c94959a5527c,2026-05-30T14:27:54.338678,10.0.123.15,192.168.44.156,51904,443,TCP,57444,lateral_movement,Lateral Movement,Remote Services,T1021,0.95
777f2679-c7d5-45c0-bbb3-e8d37a7314af,2026-05-30T14:27:54.389628,10.0.227.185,192.168.43.39,10768,445,TCP,27541,lateral_movement,Lateral Movement,Remote Services,T1021,0.95
448a2e44-23d2-417e-8be9-0f8c8df9d68f,2026-05-30T14:27:54.440770,10.0.117.100,192.168.14.41,61890,3306,ICMP,51698,data_exfiltration,Exfiltration,Exfiltration Over C2 Channel,T1041,0.95
cbbb7ff0-b10d-4a31-9dc5-658a99d4f516,2026-05-30T14:27:54.491884,10.0.15.93,192.168.163.105,62505,445,TCP,21611,data_exfiltration,Exfiltration,Exfiltration Over C2 Channel,T1041,0.95
13e2da1a-74a1-418f-a255-72566ee15ffd,2026-05-30T14:27:54.543362,10.0.227.195,192.168.140.78,62318,3306,ICMP,7287,privilege_escalation,Privilege Escalation,Exploitation for Privilege Escalation,T1068,0.95
b382f799-2305-4b89-8e7f-eec6e0c37334,2026-05-30T14:27:54.594556,10.0.101.100,192.168.218.105,40749,445,UDP,22608,c2_communication,Command and Control,Application Layer Protocol,T1071,0.95
